Text,Language
Kunis leenjifamtoonni yakkoota sadarkaan baheefi hin banee addaan baasuun bu?uura qajeelfamiichaatiin akkamitti gara hojiitti jijjiru akka danda?amu hubannoo guutuu ta?e akka horatan ni taasisa.,Afaan Oromo
Yaada waliigalaa kaayyoofi qajeeltoowwan adabbii seera yakka keenya jalatti kaa?aman ilaalchiise beekumsa duraan qaban irratti ni dabalatu.,Afaan Oromo
Adabbiin yommuu murtaa?u imaammaata fi seeroota xiyyeefannoo barbaadan irratti hubannoo isaanii ni gabbifatu.,Afaan Oromo
"Yakkoota kanaan dura sadarkaa isaaniif bahee, qajeelfama adabbii isaa haaraa keessatti irra deebiin sadarkaan isaani haala kamiin fooyya?ee akka bahe hubachuun hojjirra ni olchu.",Afaan Oromo
Yakkoota sadarkaan ba?ee fi hinbaaneef irratti hundaa?uun murtii kennuun dhimmoota qabatamoo fakkenyaan hojjatanii agarsiisuu ni danda?u.,Afaan Oromo
"Walumaagalatti murteessa adabbii keessatti hubannoo fi ogummaa murtii adabbii haala qajeelfamichaan murteesuu isaan dandeessisu ni gabbifatu, fakkeenyanis deeggaranii agarsiisuu ni danda?u.",Afaan Oromo
"Galmi Seera yakka Itoophiyaa yakkii akka hin raawwatamne ittisuu yommuu ta?u, kanas kan dhugoomsu waa?ee gochoota yakkaafi adabbii isaanii dursee akeekkachiisa kennuudhaan, yommuu akeekkachiisichi gahaa hin taanettis raawwattoonni yakkaa adabamanii yakka biraa raawwachuu irraa akka of qusataniifi kanneen birootiif barumsa akka ta?an ykn akka sirreeffaman taasisuun ykn yakkoota dabalataan akka hin raawwanneef tarkaanfiiwwan akka isaanirratti fudhatamu taasisuudhaani.",Afaan Oromo
Yaada kana irraa kan hubbachuu dandeenyuu adabbiin yakkamtoota irratti murtaa?u bulchiinsa sirna haqa yakkaa biyya tokko keessatti iddoo ol?aanaa kan qabu ta?u isaati.,Afaan Oromo
"Yaad-rimeen adabbii dagaagina seera yakkaa hammayyaa wajjiin kan dhufe ta?uun isaa ni hubatama. Haata?umalee, nama tokko irratti adabbii murteessuuf, manni murtii yakkamaan gocha itti himatameen balleessaa ta?uu isaa mirkaneessuun kan isa irraa eegamu dha.",Afaan Oromo
"Boqonnaa kana jalatti walitti-dhufeenya adabbii fi bulchiinsa sirna haqa yakka, faalasama fi yaad-rimee yeroo ammaa adabbii murtaa?u duuba jiran, murteessa adabbii bu?aa qabbeessa gochuudhaaf seerootafi imaamatoota diriiran kan ilaalu ta?u.",Afaan Oromo
"Gaheen ol?aanaa adabbiin sirna bulchiinsa haqa yakkaa keessatti qabu ni hubattu,",Afaan Oromo
"Kaayyoo adabbii galmaan gahuu yoo hin dandeenye rakkoo inni hordoofsiisu danda?u huubachuun gahee isaan irraa eggamuu gumaachuuf jijjirama ilaalcha ni fidu,",Afaan Oromo
Kaayyoo adabbii qabu qajeelfama adabbii wajjiin walitti dhufeenya inni qabu addaan baasuun hojii irraa olmaa isaatiif ni tattaafatu.,Afaan Oromo
Bulchiinsii Sirna Haqa Yakka (Criminal Justice) hojiiwwan qorannoo yakkarraa kaasee dhimmoota murteessa adabbii booda jiran kan ilaalatu dha.,Afaan Oromo
"Adabbiin gocha yakka lubbuu, bilisummaa, qabeenyaa, mirga namoota irratti kan xiyeefatu waan ta?eef haala barbaadamuun hojii irraa olchuun dhimma xiyeefannoo guddaa barbaadu dha.",Afaan Oromo
"Haala walfakkaatuun bu?aan qorannoon, himanaanfi falmiin yakkaa kan calaqiisu adabbii murtaa?u irratti waan ta?eef, murteessa adabbii dhimma xiyeefannoo guddaa kennamuuf qabu dha.",Afaan Oromo
"Oggeessii tokko dhimma leenjii qaamoolee haqaatiif kennamuu wajjiin wal-qabate yaada isa yeroo ibsu, seera yakkaa ilaalchiise mataduree adda addaatiin leenjiiwwan hedduu yeroo adda addaatti keessatti ennaa kennamuu dhimma adabbii akka waliigalaatti fi murteessa adabbii ilaalchiise sadarkaa kamiyyuu irratti leenjiinis ta?e waliigahiin yeroo gaggeefamu hin mul?atu jechuun adabbii murteessu wajjiin xiyeffannoon kanaan dura gama mootummaatiin kenname Gad-aanaa ta?uu isaa ibse ture.",Afaan Oromo
"Akka oggeessi kun kaa?etti murtiin balleessuummaa bu?aaf bahii hedduu booda itti dhaqabamu, qabatamuummaan isaa kan mirkanaa?u murtii adabbiitiin ta?uun isaa otoo beekamu dhimma kanaaf xiyeefannoo kennamu dhabuun kan nama ajaa?ibuu fi rakkoolee hedduu kan hordoofsiisu ta?uun isaa ifa akka ta?e kaa?eera.",Afaan Oromo
"Murteessa adabbii mirgaafi faayidaa namoota murta?an qofa irratti kan xiyeefatu miti. Bu?aan adabbii hordoofsiisu yakkamaa, miidhaamtoota yakkiichaa fi hawaasa irratti kan mul?atu dha.",Afaan Oromo
"Adabbii yommuu murtaa?u yakkamaafi hirkatoota/ maatii/ isaa bifa yaada keessa galcheen ta?uu akka qabu dhimma itti amanamu dha. Sababa adabbiin seeraan ala murtaa?uuf maatiin yakkamaa kan bittinahu yoo ta?e, adabbii kanaan miidhaamtooni sadarkaa jalqabaa yakkamaa fi hirkatooni isaa yoo ta?anilee rakkichii deebi?ee rakkoo hawaasa ta?uun isa kan hafu miti.",Afaan Oromo
"Kanaafuu, adabbiin namoota dhunfaa irraa darbe maatii fi hawaasa kan ilaalatu waan ta?eef, Abbootiin Seeraa adabbii haala yakkamaa yaada keessa otoo hin galchiin murtaa?u rakkoo inni hordoofsiisu danda?u akka laayyootti ilaalu hin qaban.",Afaan Oromo
"Kanamalees, adabbiin murtaa?u bu?aa barbaadamu fidu kan hin dandeenye yoo ta?e, miidhaamtoota irratti rakkoo yaadqalbii hordoofsiisu ni danda?a.",Afaan Oromo
"Yakkii faayidaa hawaasaa waliigalaa irratti balleessa raawwatamu akka ta?e yaadni waliigalaa yoo jiraates, qabatamaan wanti hubatamu nama kamiyyuu caalaa miidhaan miidhaamtoota irratti gahu ol?aanaa dha.",Afaan Oromo
"Kanaafuu, gaheen miidhaamtooni sadarkaa qorannaa fi himanaatti qaban alatti, sadarkaa adabbiitiis miidhaamtoota hirmaachiisuun barbaachiisa dha.",Afaan Oromo
"Kanaa wajjiin wal-qabate muuxannoo Naannoolee Ameerikaa tokko tokko fudhane yoo ilaalle, naannooleen muraasa ta?an miidhaamtoota sadarkaa murteessa adabbiitti karaa abbaa alngaatiin akka hirmaatan kan taasiisan yommuu ta?u, naannooleen biroo immoo miidhaamtooni dhaddachaa irratti qaamaan dhiyaatani yaada adabbii qaban akka kennan ni hayyamu. Haata?umalee, Manni Murtii yaada adabbii miidhaamtoota irraa dhiyaatu fudhachu diduuf aangoo guutuu ta?e qabu.",Afaan Oromo
Bulchiinsii sirna haqaa yakka biyya keenya miidhaamtoota hirmaachiisu irratti haanqinaalee mataa isa kan qabu akka ta?e ni beekamaa.,Afaan Oromo
"Hanga ammaati rakkoo kana furuudhaaf sirni diriire kan hin jiree yoo ta?ellee, yeroo amma imaammataa yakkaa biyya keenya keessatti kallattiin kaa?ame jira.",Afaan Oromo
Imaaamataa haqa yakkaa biyya keenya dhimmoota xiyeefannoo itti kennee keessaa inni tokko mirga namoota gocha yakkaatiin miidhaaman kabachiisuu dha.,Afaan Oromo
"Mirga miidhaamtoota haala barbaadamuun kabachiisuudhaaf miidhaamtooni sadarkaa qorannoo, himanna fi murtiiti akka hirmaatan gochuuf beekamtii seeraa akka argatu gochuu biraa darbe gorsa seera fi beenyaa akka argatan taasiisu6 barbaachiisa akka ta?e itti amaname imaammaticha keessatti akka galu taasifamuun isaa kan namaa jajjabeessuu dha",Afaan Oromo
Gocha yakkaatiin qaamni miidhaamu inni biraan uumataa ykn hawaasa iddoo yakkii itti raawwatamu keessa jiraatu dha.,Afaan Oromo
Yakkii raawwatamu wajjiin wal-qabate miidhaa hawaasa irraa gahu iddo lamaatti qodani ilaalu ni danda?ama.,Afaan Oromo
"Kunis nama yakka raawwatu hunda gara mana amala sireessaatti kan ergamu yoo ta?e, gibbirri uumatni hojiiwwan misoomaa adda addaatiif akka olu kaffalu, hojii misooma irratti oluun isaa hafe ijaarsa mana amala sirreessaa gaggeessuuf akkasumas sirreeffamtootaaf tajaajila hawaasummaa adda addaa dhiiheesuuf kan olu ta?a. Kanaafuu yakkoota hundaaf adabbii hidhaa qofa fudhachuun murteessuun hawaasa keenyaf kan fayyadu miti.",Afaan Oromo
Haalli mirgafi faayida hawaasa itti miidhaamu danda?u inni biraan yakkamtoota irratti adabbii gocha raawwatame waliin madaalawwaa ta?e kan hin kennamne yoo ta?e dha.,Afaan Oromo
"SY keewwata-1 jalatti kaayyoon seera yakkaa, faayidaa waliigalaattiif jecha nageenya, tasgabbii, sirna, mirgaafi faayidaa ummata eegu jedhame kan ibsame yommuu ta?u, yaadni kun hojii irratti kan hin mul?ane yoo ta?e, amanamummaa bulchiinsa sirna haqa yakkaa biyya keenya gaaffii keessa kan galchuu ta?a.",Afaan Oromo
Adabbiin murtaa?u nagaa fi tasgabbii eeguu fi mirkaneessuu kan danda?u hubannoo fi dandeettii qaamoleen haqaa kaayyoo adabbii murteessuu fi raawwachiisuu irratti qabaniin kan daangeffamu dha.,Afaan Oromo
Kana jechuunis qaamni seera hiikuu yookiin raawwachiisu tokko adabbiilee fi tarkaanfiiwaan eeggannoo kaayyoon adabbii tokko maal galmaan gahuudhaaf yaade seerichaan kan tumame akka ta?e dursee hubachuun qaamni himannaa dhiyeessu keewwata gocha yakkaa raawwatame waliin rogummaa qabuun himachuu akka qabu fi adabbii Mana Murtiidhaan kennamuus qixa seeraa fi ragaa dhiyaateen ta?uu akka qabu kan akeeku dha. Gaaffiin adabbiin kaayyoo maaliif murta?a?,Afaan Oromo
isa jedhu hayyoota yeroo gara garaa turaniin kaayyoo adabbii bakka afuritti kan qoodu. Isaanis:,Afaan Oromo
"Haloo bahuun akka kaayyoo adabbii ta?e madduu kan danda?e adabbii ilaalchiise amantaa fi ilaalcha dur ture ?nama ija balleesse ija balleessuu, nama ilkaan cabse ammoo ilkaan cabsuu? kan jedhu irraa kan madde fakkaata.",Afaan Oromo
Kaayyoon adabbii inni guuddaan yakkamaa irratti haloo bahuu yoo ta?uu baatees fedhii hawaasaa hanga ta?e guutuun sirna haqaa yakkaa biyya tokkoo keessatti dhimma xiyyeeffannoo argachuu qabu dha.,Afaan Oromo
Sababni isaas hawaasni yakkaan miidhaame tokko akka ofii miidhaametti yakkamaanis miidhaamee arguuf fedhii guddaa qaba.,Afaan Oromo
Fedhii hawaasni gama kanaan qabu guutamu kan danda?u yakka salphaa ta?eef adabbii salphaa yakka cimaa ta?eef ammoo adabbii cimaa seera yakka keessatti tumuudhaani.,Afaan Oromo
Kun ta?uu baannaan amantaa uummatni sirna haqaa yakkaa biyya tokkorra qabu irratti dhiibbaa ni qabaata jechuun ibsu.,Afaan Oromo
Hayyoonni seeraa waa?ee kaayyoo adabbii akeekkachiisa dabarsuu yommuu dubbatan yakkamaan yakka raawwachuu irraa kan of qusatu gocha inni raawwachuu yaadeef durfame seeraan nama kan gaafachisu ta?uun isaa ifatti seeraan yoo tumame qofa akka ta?e fi akkasummas namoota yakka raawwatanii adabaman hawaasatti agarsiisuudhaan namni kamiyyuu yommuu yakka raawwatee argamu mirga isaa kan dhabu ta?uu isaa akeekachisaa dabarsuun akka ta?e ni dubbatu.,Afaan Oromo
Akeekkachiisaa waliigalaan akkuma waliigalaatti hawaasa keessatti kaayyoo yakka ittisuu kan ilaallatu yommuu ta?u akeekkachiisa dhunfaa ammoo yakkamaan gocha yakkaa tokkoon yommuu adabamu gocha raawwaterraa barumsa argachuun akkasumas waan itti adabameef gara fuulduraatti yakka biraa raawwachuu irraa akka of qusatu ni taassisa.,Afaan Oromo
Haata?umalee murtiin yakkamtoota irratti kennamu karaa hundaan yeroo gabaaba keessatti haala bu?a qabeessaa ta?een kan hin raawwatamne yoo ta?ee adabbiin murtaa?u kaayyoo dhaabbateef galmaan gahuu hin danda?u.,Afaan Oromo
Namoonni tokko tokko amalaan hammeenyummaa guddaa qabaachuu fi baay?ee rakkisoo ta?uu ni danda?u. Kanamalees namoonni hawaasa keessatti yakkaa irra deddeebiin raawwatanis hammeenyummaan isaanii ol?aanaa ta?uu ni danda?a.,Afaan Oromo
Yeroo yakkamtootni akkanaa kun quunnaman yakka biraa raawwachuudhaaf carraa akka hin arganne akkasumas nagaa fi tasgabbii hawaasichaatiif sodaa akka hin taane taasiisuun barbaachisaa dha.,Afaan Oromo
Kaayyoon adabbii kun kan maddu yakkamtootni rakkisoon tokko tokko gara fuulduraattii yakka biroo raawwachuu irraa duubatti hin deebi?an yaaddoo jedhu irraati.,Afaan Oromo
"Haata?u malee, amala fi hammeenyummaa isaanii sababa godhachuun yakkamtoota yeroo dheeraaf mana sireessaa keessa tursiisuun adeemsa seeraa sirrii ta?e (due process of law) kan hin hordofne dha jechuun ni qeeqama.",Afaan Oromo
"Deggertoonni yookiin leellistoonni yaada kanaa falmii isaanii deggeruuf sababni dhiyeessan, yakkamtoonni akkasii yeroo dheeraaf to?annoo jala akka turan kan taasifamu gocha yakkaa amma raawwataniif otoo hin ta?iin, kan gara fuulduraatti raawwachuu danda?an irraa eeguuf jedhamee waan ta?eef kaayyichi bu?ura seeraa hin qabu jechuun falmu.",Afaan Oromo
"Kanamalees, yakkamtoonni yeroo dheeraaf mana sirreessaa keessa akka turan kan taasifamu yoo ta?e, baasii mootummaan yookiiin hawaasichi mana sirreessaaf baasuu akka dabalu ni taasisa jechuun qeequ.",Afaan Oromo
Kaayyoon adabbii kun ilaalchaa fi amala badaa yakkamaan qabu sirreessuu fi barsiisuudhaan jijjiirama amalaa akka fiduuf kan hojjetu dha.,Afaan Oromo
"Ilaalcha (amala) yakkamaan qabu sirreessuudhaan yakkamaan lammii gaarii gocha yakka jibbu, gara Fuula duraatti yakka biroo raawwachuu irraa kan of qusatuu fi oomisha adda addaa keessatti hirmaachuun gumaachaa barbaachisu akka taasiisuu gochuu irratti kan xiyyeeffatu dha.",Afaan Oromo
Akka kaayyoo kanaatti yakkamaan yakka biraa raawwachuu irraa kan of qusatu gocha yakka raawwate irraa fayyadamaa waan hin taaneef yookiin yakka biraa yoon raawwadhe nan adabama sodaa jedhu irraa otoo hin taane kanaan dura gocha yakkaa kan raawwatan dogongora irraa kan ka?e akka ta?e waan hubataniifi.,Afaan Oromo
Biyyooni sirna seera (Legal System) isaan hordoofan garaagaraa yoo ta?ellee dhimma adabbii murtessu hunda isaani haala wal-fakkaatuun kan isaan yaadeessu dha.,Afaan Oromo
Adabbiin yakkamtoota irratti murtaa?u madaalawwafi haqaa qabeessa ta?u akka qabu biyyooni hunduu sadarkaa qajeeltooti kan irratti waliigalanidha.,Afaan Oromo
Haata?umalee biyyooni qajeeltowwan kanaaf hiikaa isaan kennanfi haalli itti raawwachiisan irratti garaagarumma ni qabu.,Afaan Oromo
"Kunis Biyyooni falaasamaa seera isaan hordofan, haala dinagdee, hawaasumaa fi siyaasa isaan qaban irraa kan ka?e garaagarummaan kan mul?atu yoo ta?ellee, dagaaginaa teeknoolojjii wal-qabate addunyaa gara qa?ee tokkoti (globalization) waan dhufteef biyyii tokko isa kaan irraa haalli muuxannoo itti fudhatu salphate jira.",Afaan Oromo
Biyyooni sirna seera koomanloow jedhamu hordofan qajeelfama adabbiitiin fayyadamu ilaalchiise muuxannoo gaarii akka qaban qo?annoowwan gama kanaan taasifaman ni mul?isu.,Afaan Oromo
"Mataduree kana jalatti muuxannoo biyyoota muraasa kasuudhaan sababoota qajeelfama adabbii akka qopheessan isaan dirqsiisan, haalli qajeefamni isaani itti diriire fi qabiyyeen isaa akkasumas qabatamaan haala qajeelfama isaanii raawwachiisan fakkeenyadhaan deegaramne kan ilaallu ta?a.",Afaan Oromo
Qajeelfama adabbii hojii irraa olchu kan jalqabame biyya kana keessatti dha.,Afaan Oromo
"ana booda sireefamuu yakkamaa ilaaludhaan adabamaa akka gadidhifamuu kan murteessu qaamni ?Parol Commission? jedhame beekamu dha. Murtii adabbii kennamu irratti carraan ol?iyyachu dhiphaa ta?u isaa bira darbe, Abbootiin Seeraa murtii adabbii isaan kennan ilaalchiise itti-gaafatamummaa hin qabani.",Afaan Oromo
Kanarraa kan ka?e adabbii murtaa?u haqumaa hin qabu jedhame qaqeemaa ture. Kanamalees sirna haqaa biyya sana amanta uumataa dhabuu jalqabe.,Afaan Oromo
Rakkoolee kana furuuf sadarkaa Mootummaa Federaalatti qajeelfama adabbii ?United States Sentencing Guideline? jedhame beekamu hojii irraa akka olu taasifameera.,Afaan Oromo
Qajeelfamni kun kan qoophaa?e Komishinni Adabbii Mootummaa Ameerikaa jedhame beekamuni.,Afaan Oromo
Qajeelfamichii garagaditti sadarkaa yakkaa 43 (Offense Level) fi garadalgaati immoo seena yakka yakkamaa (Criminal History Catagories) irratti hundaa?un tokko ol akka qabaatu godhame hojjatameera.,Afaan Oromo
"Sadarkaalee yakka Zonni A,B,Cfi D jedhamani kan qoqqodaman yommuu ta?u, gochii yakkamaan balleessa ittin jedhame Zonni A-C jalatti kan kufuu yoo ta?e, Abbootiin Seeraa adabbilee adabbii hidhaa ala ta?a kanneen akka adabbii hojii humna ykn tajaajila tolaa hawaasa kennuu fi k.k.f murteessuuf aangoo guutuu qabu. Hataa?u malee gochii yakkamaan balleessa ittin jedhame Zonni D jalatti kan kufuu yoo ta?e Abbootiin Seeraa yoo xiqqaate reenjii adabbii kaa?ame keessatti adabbii hidhaa isa gad aanaa murteessuuf dirqama qabu.",Afaan Oromo
Kanaafuu Abbootiin Seeraa tokkoon tokkoon yakkootaaf sadarkaa bahefi seena yakkaa yakkamaa qorachuun gara qajeelfama adabbiitti fiduun sadarkaa isa kamii irratti adabbii murteessu akka qaban ni hubatu jechu dha.,Afaan Oromo
Adeemsa adabbii itti murtaa?u yommuu ilaalu jalqaba irratti yakka raawwatame ulaagaalee qajeelfamichaan kaa?aman irratti hundaa?un sadarkaan isaa adda ni baha. Itti-ansee sababoota adabbii cimsanii fi salphiisan irratti hundaa?un akkuma barbaachiisummaa isaatti gulantaan isa ol siiqa ykn gadi ni bu?a.,Afaan Oromo
Itti-ansee sababoota adabbii cimsanii fi salphiisan irratti hundaa?un akkuma barbaachiisummaa isaatti gulantaan isa ol siiqa ykn gadi ni bu?a.,Afaan Oromo
"Kanabooda, seena yakkamaa irratti hundaa?udhaan garadalgaatti sadarkaan irratti kufuu ni murta?a.",Afaan Oromo
Dhumaa irratti iddoo sadarkaa yakka fi seenaan yakkamaa walitti dhufanitti adabbiin kan murtaa?u ta?a.,Afaan Oromo
Faayidaan hannaan argame hanga $ 5000 yoo ta?e sadarkaan yakkiichaa gulantaa 6ffaa ta?a (baatii 0- 6).,Afaan Oromo
Faayidaan hannaan argame hanga $ 5000- 10000 yoo ta?e sadarkaan yakkiichaa gulantaa 8ffaa ta?a (baatii 0-8).,Afaan Oromo
"Faayidaan hannaan argame hanga $ 10,000- 30, 0000 yoo ta?e sadarkaan yakkiichaa gulantaa 12ffaa ta?a (baatii6-12).",Afaan Oromo
"Kanabooda seena yakkamaa irratti hundaa?udhaan garadalgaati sadarkaan irratti kufuu addaan baasu,",Afaan Oromo
Waggaa tokko ol kan adabame ture yoo ta?e riikoordi inni qabu hundaaf tokko tokko isaaniif qabxii Sadii ni dabalama.,Afaan Oromo
Guyyaa 60 ol kan adabame ture yoo ta?e riikoordi inni qabu hundaaf tokko tokko isaaniif qabxii lama ni dabalama.,Afaan Oromo
Haala kanaan gulantaan gara dalagaati jiru ni beekamaa.,Afaan Oromo
Dhumaa irratti iddoo sadarkaa yakkaafi seenaan yakkamaa walitti dhufanitti adabbiin kan murtaa?u ta?a jechuudha.,Afaan Oromo
"Ingiliizii keessattis kanaan dura Abbootiin Seeraa adabbii murteessu keesssati aangoo bal?aa ta?e kan qaban waan ta?eef, adabbiin murtaa?u rakkoodhaaf kan saaxilame ture.",Afaan Oromo
Qajeelfamni adabbii biyya kana Magistrate court Sentencing Guideline jedhame beekamaa.,Afaan Oromo
Qajeelfamni kun bara 2008 A.L.,Afaan Oromo
"A irraa kaase hojii irraa kan ole yommuu ta?u, qajeelfama adabbii bara 2004 bahe kan bakka bu?e dha.",Afaan Oromo
Haalli qajeelfamiichii itti qophaa?e yommuu ilaalu yakkoota hundaaf iddoo tokkoti kan hojjatameef otoo hin ta?in yakka tokko fudhachuun ulfaatina (seriousness) inni qabu irratti hundaa?un sadarkaa yakkiichaa bakka bu?uu dandanda?u qophaahe jira,Afaan Oromo
"Adabbiin murtaa?u daangaa keessatti murtaa?u akka qabu taasifame kan qophaa?e yoo ta?uu, adabbiin ka?umsaa qajeelfamiicha keessatti kaa?ame adabbii kutaa adda seericha keessatti kaa?ame irraa walakkaa fudhachuudhaani.",Afaan Oromo
Sana booda sababoota qajeelfamichaa keessatti akka adabbii cimsuuf ykn salphiisuuf kaa?aman irratti hundaa?un adabbii ka?umsa qajeelfamichaa irratti kaa?ame ol guddisu ykn hirdhisun adabbiin inni dhuma kan murtaa?u ta?a.,Afaan Oromo
"Adabbiin murtaa?u kallatidhaan heera mootummaa wajjiin kan wal qabatu yoo ta?uu baatelee, yeroo murtaa?u bifa qajeetoowwan heera mootummaa keessatti kaa?aman yaada keessa galcheen ta?u qaba.",Afaan Oromo
"Kanaafuu, Abbootiin Seeraa adabbii ilaalchiise qajeeltoowwan heera mootummaa irratti kaa?aman off-eggannoon ilaalanii bu?uura qajeeltowwan kanaan hojjachuuf dirqama ni qabu.",Afaan Oromo
Qajeeltoowwan murteessa adabbii bu?aa qabeessa gochuudhaaf heera mootummaa keessatti kaa?aman kunis:,Afaan Oromo
Mootummaan guyyaa guyyaan hojjiilee adda addaa kan raawwatu imaana uumataarraa itti kenname fixaan baasuudhaafi.,Afaan Oromo
Mootummaan ittigaafatamuuma isa irratti gatamee kana fixaan baasuu isa akkataa itti mirkanneessu danda?amu keessaa inni tokko hojiin mootummaadhaan raawwatamu iftoomina kan qabu yoo ta?eedha.,Afaan Oromo
"Qajeeltoo kana ilaalchiise manni murtii murtee adabbii yeroo kennu gosaa fi hanga adabbii yakkamaa irratti murta?e sababa gahaa ta?een deegaramuun murteessu kan isaan irraa egamu yommuu ta?u, sababa kanaas haala ifa ta?een ibsu qaba.",Afaan Oromo
"Akkasumas, sababoota adabbiin yakkamaa irratti akka cimuu yookiin salphatu taasisan maal fa?a akka ta?an kan ibsu qaban garee falmiitootaaf qofa otoo hin ta?iin murtii isaa dhaddachaa ifa ta?e irratti hawaasaaf ibsu qabu.",Afaan Oromo
Kanamalees hojii Abbaan Seeraa gaggeessu hundaaf itti gaafatamummaa kan qabu akka ta?e hubatamu qaba.,Afaan Oromo
"Akkuma beekamu adabbiin kan murtaa?u mirga bilisumaa fi qabeeya yakkamaa irratti waan ta?eef, yeroo adabbiin murtaa?u bu?uurrisaa seeraaf seera qofa ta?u qaba.",Afaan Oromo
"Dabalataan, namni kamiyyuu seera fulduraati wal-qixummaa kan qaban waan ta?eef, adabbiin yeroo murtaa?u sababoota garaagarummaa akka uuman seerichaan hayyamaman alatti fayyadamuun dhorkaa dha.",Afaan Oromo
